Country,Policy_Bucket,Need_Score_0to1,Urban_Pop_used,WAT_latest,SAN_latest,CMR_latest,Feasible_WAT_gain,Feasible_SAN_gain,People_new_WAT_12m,People_new_SAN_12m,Standpipes_needed,New_connections_needed,Basic_toilets_needed,Handwash_stations_needed,Desludging_trips_year,Cost_total_12m_USD,Primary_Owner,Co_Leads,Objective,Key_Actions,Timeline_90d,Timeline_6_12m,Timeline_12_24m,KPIs
Georgia,Type A: Maintain & Climate-proof,0.095,2328739,94.98,86.26,1.06,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Sri Lanka,Type A: Maintain & Climate-proof,0.091,4460169,89.31,95.09,0.98,0.007,0.0,30775,0,62,3078,0,7,124,1334900,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Dominican Republic,Type A: Maintain & Climate-proof,0.089,9632825,96.75,88.68,5.87,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Tuvalu,Type A: Maintain & Climate-proof,0.088,6584,99.26,83.55,3.19,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Guyana,Type A: Maintain & Climate-proof,0.08,225728,95.86,90.99,4.56,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Fiji,Type A: Maintain & Climate-proof,0.074,547023,95.49,93.04,4.58,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Ireland,Type A: Maintain & Climate-proof,0.073,3365337,95.99,89.25,0.4,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Kyrgyzstan,Type A: Maintain & Climate-proof,0.072,2699681,90.8,97.86,1.88,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Syrian Arab Republic,Type A: Maintain & Climate-proof,0.072,13695263,94.08,94.98,3.91,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Cuba,Type A: Maintain & Climate-proof,0.071,8557749,94.65,92.15,1.01,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Bulgaria,Type A: Maintain & Climate-proof,0.071,5235284,99.06,86.06,1.06,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Grenada,Type A: Maintain & Climate-proof,0.07,43637,95.63,91.49,1.79,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
El Salvador,Type A: Maintain & Climate-proof,0.069,4795066,98.59,87.55,1.75,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Cook Islands,Type A: Maintain & Climate-proof,0.068,0,99.97,85.44,1.04,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Russian Federation,Type A: Maintain & Climate-proof,0.068,109877390,97.05,89.42,0.99,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Belize,Type A: Maintain & Climate-proof,0.067,192557,98.41,88.25,1.59,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Poland,Type A: Maintain & Climate-proof,0.066,23385626,90.37,98.96,0.62,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Ecuador,Type A: Maintain & Climate-proof,0.066,11692266,95.7,92.27,1.76,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Suriname,Type A: Maintain & Climate-proof,0.063,418421,97.99,89.97,1.85,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Saint Vincent and the Grenadines,Type A: Maintain & Climate-proof,0.063,55453,97.73,89.7,1.16,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Montserrat,Type A: Maintain & Climate-proof,0.062,0,98.08,89.1,0.77,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Iran,Type A: Maintain & Climate-proof,0.062,70401154,97.69,90.36,1.78,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Viet Nam,Type A: Maintain & Climate-proof,0.061,40336562,97.96,92.17,4.24,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Venezuela,Type A: Maintain & Climate-proof,0.059,25047677,93.33,98.4,3.23,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Romania,Type A: Maintain & Climate-proof,0.055,10492223,100.0,88.28,1.17,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Oman,Type A: Maintain & Climate-proof,0.054,4493747,92.44,99.32,1.46,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Ukraine,Type A: Maintain & Climate-proof,0.053,26520144,93.59,97.75,1.19,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Lebanon,Type A: Maintain & Climate-proof,0.053,5173224,92.6,99.2,1.2,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Brazil,Type A: Maintain & Climate-proof,0.048,185837626,99.59,90.88,1.56,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Bosnia and Herzegovina,Type A: Maintain & Climate-proof,0.047,1615086,96.09,95.39,0.76,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Colombia,Type A: Maintain & Climate-proof,0.044,43244479,97.54,94.73,1.81,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Niue,Type A: Maintain & Climate-proof,0.042,0,97.01,97.43,3.77,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Latvia,Type A: Maintain & Climate-proof,0.042,1295373,98.89,92.44,0.52,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Uzbekistan,Type A: Maintain & Climate-proof,0.042,18049339,96.62,96.31,1.52,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Kazakhstan,Type A: Maintain & Climate-proof,0.041,11870141,95.44,97.86,1.14,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Mexico,Type A: Maintain & Climate-proof,0.041,106207563,99.71,92.52,1.86,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Libya,Type A: Maintain & Climate-proof,0.04,5983846,99.89,92.11,1.56,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Trinidad and Tobago,Type A: Maintain & Climate-proof,0.039,805004,98.88,93.92,1.76,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Malaysia,Type A: Maintain & Climate-proof,0.039,27820377,97.16,96.0,1.1,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
China,Type A: Maintain & Climate-proof,0.039,932419067,97.65,95.89,1.89,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Saint Kitts and Nevis,Type A: Maintain & Climate-proof,0.038,14606,98.61,94.95,2.34,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Serbia,Type A: Maintain & Climate-proof,0.038,3885855,95.68,97.91,0.75,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Azerbaijan,Type A: Maintain & Climate-proof,0.038,5984252,97.64,96.13,2.01,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Albania,Type A: Maintain & Climate-proof,0.037,1838263,95.09,99.3,1.05,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Tunisia,Type A: Maintain & Climate-proof,0.036,8647668,97.18,97.44,2.32,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Paraguay,Type A: Maintain & Climate-proof,0.035,4345282,99.6,94.57,2.63,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Bahamas,Type A: Maintain & Climate-proof,0.035,334597,98.89,94.93,1.77,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Lithuania,Type A: Maintain & Climate-proof,0.034,1967505,98.04,95.31,0.6,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Tonga,Type A: Maintain & Climate-proof,0.033,24281,98.81,95.3,1.58,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
